Tarefa,categoria,cliente,descrição,Legenda,prazo,Dia,Hora,prioridade,responsável,status,Inspiração,Link entrega
FIM da Substituição Tributária,carrossel,HDG,"Slide 1
Texto Principal: FIM da Substituição Tributária (ICMS-ST) para diversos setores!
Subtítulo: A Portaria SRE 34/2026 traz mudanças drásticas. A sua empresa está preparada?

Slide 2
Texto Principal: O que mudou?
Texto Secundário: O Governo de SP publicou a Portaria SRE 34/2026, excluindo uma série de mercadorias do regime de Substituição Tributária (ICMS-ST) com retenção antecipada. A mudança impacta a precificação e a carga tributária de milhares de empresas.

Slide 3
Setores Impactados:
Autopeças e Baterias
Pneus e Câmaras de ar
Tintas e Vernizes
Materiais Elétricos
Ferramentas
Produtos Eletrônicos e Eletrodomésticos

Slide 4
Texto Principal: E o seu estoque atual? 
Texto Secundário: Inventário obrigatório! Para os produtos que saíram da ST, é preciso aplicar a Portaria CAT 28/20. Não ignore: isso pode virar dinheiro no caixa ou gerar novas obrigações.

Slide 5
Texto Principal: Fique atento ao prazo!
Texto Secundário: As novas regras entram em vigor no dia 1º de Outubro de 2026. O momento de ajustar o sistema da sua empresa, revisar o planejamento tributário e auditar o estoque é AGORA.

Slide 6
Texto Principal: Não deixe seu caixa em risco e evite autuações!
Texto Secundário: A transição do ICMS-ST exige precisão técnica e jurídica. A equipe da Hedge está pronta para conduzir o seu negócio nessa adaptação com total segurança.

","🚨 Fim da Substituição Tributária (ICMS-ST) para vários setores!

Mas a grande pergunta é: como fica o seu estoque atual? 

👉 Arraste para o lado e entenda os impactos.",03/07/2026,sexta-feira,,alta,Junior,Finalizado,https://www.doe.sp.gov.br/executivo/secretaria-da-fazenda-e-planejamento/portaria-sre-34-de-29-de-junho-de-2026-20260629112832141951578,
9. 09_ipi_base_credito_pis_cofins,Blog,HDG,"---
title: ""IPI no crédito de PIS/COFINS: o que o STJ decidiu no Tema 1.373 e a janela que sobrou""
meta_description: ""O STJ decidiu que o IPI não recuperável não gera crédito de PIS/COFINS a partir de dezembro de 2022. O que isso significa para o comércio e atacado, e por que ainda existe uma janela de recuperação do período anterior.""
keywords: IPI base crédito PIS COFINS, STJ Tema 1373, IPI não recuperável, IN 2121/2022, crédito PIS COFINS comércio, recuperação IPI revenda, IPI custo aquisição
author: Igor Izoton — Hedge Tax
focus_keyword: IPI base crédito PIS COFINS
---

# IPI no crédito de PIS/COFINS: o que o STJ decidiu no Tema 1.373 e a janela que sobrou

Numa conversa com o dono de uma indústria de pneus que acompanha de perto as teses do mercado, ele já tinha o tema no radar:

> ""Tá saindo aquela tese do IPI no PIS e no Cofins, né? Me manda que eu vejo se encaixa. Existe muita coisa que a gente analisa e decide se compensa entrar na briga.""

Compensava entrar — mas o jogo virou. Em março de 2026, o STJ fechou a discussão de forma desfavorável ao contribuinte para o período recente. Mesmo assim, sobrou uma janela de recuperação que vale dinheiro para o comércio e o atacado, e que tende a fechar. Entender o que o tribunal decidiu separa quem aproveita o que ainda existe de quem entra numa briga já perdida.

## A mecânica: por que o IPI virava crédito de PIS/COFINS

Quando um comerciante ou atacadista compra mercadoria para revenda de uma indústria, a nota costuma vir com IPI. Esse comerciante **não é contribuinte de IPI** — então ele não se credita do IPI. Para ele, o IPI pago na compra é **custo de aquisição** da mercadoria (o chamado ""IPI não recuperável"").

A tese: se o IPI integra o custo de aquisição, e o regime não cumulativo de PIS/COFINS permite crédito sobre custos vinculados à atividade, então o IPI não recuperável deveria compor a **base de cálculo dos créditos** de PIS/COFINS. Quanto maior a base, maior o crédito a abater.

Até 2019, a própria Receita reconhecia isso: a IN RFB nº 1.911/2019 autorizava expressamente o IPI não recuperável a integrar o valor de aquisição para fins de crédito de PIS/COFINS.

## A virada da Receita e a decisão do STJ

Em dezembro de 2022, a Receita mudou de posição. A **Instrução Normativa nº 2.121/2022** (em vigor desde 20/12/2022) passou a **vedar** a inclusão do IPI na base de cálculo dos créditos. Quem continuou incluindo passou a litigar.

A discussão foi parar no STJ como recurso repetitivo — o **Tema 1.373**. E em **11 de março de 2026**, a 1ª Seção do STJ, por unanimidade, fixou tese **desfavorável ao contribuinte**:

> O IPI não recuperável incidente na compra de mercadoria para revenda **não** integra a base de apuração dos créditos de PIS/COFINS, **a partir das operações realizadas após a entrada em vigor da IN 2.121/2022, em 20/12/2022**.

O fundamento do voto condutor (Min. Maria Thereza de Assis Moura): só se admite crédito daquilo que foi onerado pela mesma contribuição em etapa anterior da cadeia. Como não há PIS/COFINS sobre o IPI, não há crédito a aproveitar. Por se tratar de repetitivo, a tese é vinculante para todos os tribunais.

## A janela que sobrou: o período anterior a dezembro de 2022

Aqui está o ponto que o título do tema esconde. O STJ delimitou a vedação **a partir de 20/12/2022**. Antes disso, vigorava a IN 1.911/2019, que **expressamente autorizava** o IPI na base do crédito.

Ou seja: para as operações **anteriores a 20/12/2022**, a inclusão do IPI na base de crédito de PIS/COFINS estava amparada pela própria norma da Receita. Empresas que **não** aproveitaram esse crédito no período em que ele era permitido têm uma janela de recuperação — limitada ao prazo de 5 anos e ao recorte temporal anterior à IN 2.121/2022.

Para um comércio ou atacado com volume relevante de compras com IPI nesse período, esse crédito retroativo existe e é defensável, porque se apoia na norma que vigorava à época, não na tese que o STJ rejeitou.

## A ressalva honesta: os embargos e a modulação

Não dá para tratar isso como dinheiro garantido sem mencionar o que ainda está em aberto. Após a publicação do acórdão (17/03/2026), os contribuintes opuseram **embargos de declaração** discutindo o marco temporal — pedindo que a vedação só valesse a partir da publicação do acórdão, não desde 20/12/2022.

Isso significa que o **alcance temporal exato ainda pode ser ajustado** (modulação de efeitos). O cenário mais provável mantém o corte em 20/12/2022, mas o tema merece acompanhamento. Qualquer recuperação do período anterior deve ser construída com essa consciência — é uma janela real, mas com uma discussão de borda ainda viva.

## Quem deve olhar isso

O perfil:

- **Comércio e atacado** no Lucro Real (regime não cumulativo de PIS/COFINS).
- Que **compra mercadoria para revenda com IPI** na nota.
- Que **não se credita de IPI** (não é contribuinte do imposto).
- Com volume relevante de compras **anteriores a 20/12/2022** ainda dentro do prazo de 5 anos.

Indústrias que compram insumos com IPI e se creditam do imposto seguem outra lógica — a tese é para quem suporta o IPI como custo final.

## A camada da Reforma Tributária

Há um detalhe que torna esse tema datado por natureza. O **IPI será reduzido a zero em 2027** (EC 132/2023, LC 214/2025), exceto para produtos com similar na Zona Franca de Manaus. E PIS/COFINS serão extintos em 2027, substituídos pela CBS.

Conclusão prática: a discussão sobre IPI na base de crédito de PIS/COFINS é um tema de **encerramento**, não de futuro. Não haverá ""IPI no crédito de CBS"" nesse formato. O que existe é uma janela retroativa — período anterior a dezembro de 2022, dentro dos 5 anos — que some à medida que o calendário avança e os tributos envolvidos são extintos. Quem não olhar agora perde a chance de olhar depois.

## Tabela-resumo

| Período | Tratamento do IPI na base de crédito |
|---|---|
| Até 19/12/2022 | Permitido (IN 1.911/2019) — janela de recuperação |
| A partir de 20/12/2022 | Vedado (IN 2.121/2022, confirmado pelo STJ Tema 1.373) |
| Decisão STJ | 11/03/2026, unânime, vinculante |
| Em aberto | Embargos discutindo modulação do marco temporal |
| Prazo de recuperação | 5 anos (sobre o período permitido) |
| Reforma | IPI a zero em 2027; PIS/COFINS extintos em 2027 |

## O ponto

A tese do IPI na base do crédito de PIS/COFINS deixou de ser uma aposta de futuro e virou uma questão de retrovisor. O STJ fechou a porta para frente, mas a janela de trás — o período em que a própria Receita autorizava o crédito — continua aberta para quem comprou com IPI antes de dezembro de 2022 e não aproveitou. É crédito que prescreve no relógio dos 5 anos e morre de vez com a extinção do PIS/COFINS. Quem entrar achando que vai ganhar para frente, perde. Quem olhar para trás no prazo certo, recupera.

**Sobre a Hedge Tax.** Somos uma consultoria tributária boutique com sede em Vila Velha (ES), reconhecida como uma das principais referências em recuperação de créditos de PIS/COFINS para o comércio e atacado no Espírito Santo, com atuação em todo o país. Nosso time tem passagem por Deloitte, ArcelorMittal e Vale S.A. Mapeamos o volume de compras com IPI anteriores a dezembro de 2022, dimensionamos o crédito recuperável dentro do prazo e conduzimos a recuperação com a consciência exata do que o STJ decidiu e do que ainda está em aberto. Se a sua empresa revende mercadoria comprada com IPI, fale com a gente: **hedgeconsultoria.com**.

Fale comigo diretamente pelo WhatsApp nesse link:
https://api.whatsapp.com/send/?phone=5527999614664

Igor Izoton
CEO, Hedge Tax
+55 27 99961-4664
igor@hedgeconsultoria.com

*Este conteúdo tem caráter informativo e não constitui consultoria tributária individualizada. A existência e o tamanho do crédito do período anterior a dezembro de 2022 dependem do volume de compras e da escrituração de cada empresa, exigindo análise específica, e o marco temporal da tese ainda é objeto de embargos no STJ. As regras citadas baseiam-se na legislação e jurisprudência vigentes (IN RFB 1.911/2019, IN RFB 2.121/2022, STJ Tema 1.373, EC 132/2023, LC 214/2025) e estão sujeitas a alteração.*
",,03/07/2026,sexta-feira,03:00:00,Baixa,Junior,Finalizado,,
beijo,Video,Mineiro,,,03/07/2026,sexta-feira,18:00:00,Baixa,Junior,Finalizado,,
CARROSSEL 1  Apresentação do Suriflix,carrossel,Suricato,"Slide 1
CAPA
Logo estilo Netflix em vermelho/preto  'SURIFLIX  O único streaming que deixa você mais bonito'
Slide 2
Gancho
'Chega de pagar por episódio'  analogia com pagar corte avulso toda vez
Slide 3
Plano Light Corte
Club Light - Corte | R$ 99,90/mês | Restam 88 vagas | 'Plano Básico'
Slide 4
Plano Light Cabelo & Barba
Club Light - Cabelo & Barba | R$ 189,90/mês | Restam 94 vagas | 'Plano Padrão'
Slide 5
Plano Premium Cabelo
Club Premium - Cabelo | R$ 118,00/mês | 'Plano Premium'
Slide 6
Plano Premium Barba
Club Premium - Barba | R$ 129,90/mês
Slide 7
Plano Premium Cabelo & Barba
Club Premium - Cabelo & Barba | R$ 208,90/mês | '4K Ultra  O mais completo' | MAIS VENDIDO
Slide 8
CTA
'Assine agora. Vagas limitadas.' + link/contato na bio

","Você ainda paga corte avulso? 📺✂️

Enquanto tem gente maratonando série, nossos clientes maratonam corte em dia, barba alinhada e horário garantido.

O Suriflix foi feito pra quem gosta de praticidade, economia e quer estar sempre na régua.

As vagas são limitadas. Então não deixa pra assinar quando acabar. 😉

📲 Fale com a gente pelo link da bio e escolha o plano ideal.
",03/07/2026,sexta-feira,16:00:00,alta,Junior,Finalizado,,
video musica 6,Video,Venturini,Teaser da musica,,03/07/2026,sexta-feira,,alta,Junior,Finalizado,,
10. 10_transacao_tributaria_pgfn_capag,Blog,HDG,"---
title: ""Dívida de R$ 600 milhões reduzida a R$ 50 milhões: como funciona a transação com a PGFN""
meta_description: ""A transação tributária e a revisão da capacidade de pagamento (CAPAG) podem reduzir drasticamente dívidas inscritas na Dívida Ativa da União. Como funciona, quem se qualifica e onde está o erro que limita o desconto.""
keywords: transação tributária PGFN, revisão capacidade de pagamento, CAPAG PGFN, redução dívida ativa União, Portaria 6757, transação por capacidade de pagamento, negociar dívida federal
author: Igor Izoton — Hedge Tax
focus_keyword: transação tributária PGFN
---

# Dívida de R$ 600 milhões reduzida a R$ 50 milhões: como funciona a transação com a PGFN

Numa conversa com o diretor de uma indústria de papel, o assunto migrou para passivos tributários. Ele contou, de passagem, um número que faz qualquer empresário endividado parar:

> ""Nos últimos anos fiz umas 25 transações de grande volume. A maior foi uma dívida de R$ 600 milhões que reduzimos para menos de R$ 50.""

R$ 600 milhões viraram R$ 50 milhões. Não é mágica nem perdão político — é o uso técnico de um instrumento que existe na lei desde sempre, mas que só foi regulamentado de verdade nos últimos anos: a **transação tributária**. E o que define se uma empresa reduz 90% ou 10% da dívida quase nunca é a dívida em si. É como a **capacidade de pagamento** é calculada e contestada.

## O que é a transação tributária

A transação tem origem no **artigo 171 do Código Tributário Nacional** — dispositivo que ficou décadas como letra morta, sem regulamentação. A Lei nº 13.988/2020 e a **Portaria PGFN nº 6.757/2022** mudaram isso, estruturando como a Procuradoria-Geral da Fazenda Nacional negocia débitos inscritos em Dívida Ativa da União.

A lógica: para créditos de difícil recuperação, é melhor para a União receber uma fração do que carregar uma dívida que nunca será paga. A transação permite descontos sobre juros, multas e encargos legais — que podem chegar a **100% dessas rubricas, limitados a um percentual do valor total da inscrição** — além de parcelamentos longos.

A PGFN publica editais periodicamente (modalidades por capacidade de pagamento, débitos de difícil recuperação, pequeno valor, débitos garantidos). Os prazos de adesão abrem, fecham e são prorrogados ao longo do ano — mas a base normativa (a Portaria 6.757/2022) é permanente. Quando um edital fecha, costuma abrir outro equivalente ou renovado.

## O coração da redução: a capacidade de pagamento (CAPAG)

Aqui está onde os R$ 600 milhões viram R$ 50 milhões. O desconto na transação por capacidade de pagamento não é arbitrário — ele é calibrado pela **CAPAG**, a metodologia que a PGFN usa para estimar quanto o contribuinte conseguiria pagar.

O princípio é contraintuitivo: **quanto menor a capacidade de pagamento demonstrada, maior o desconto concedido**. A PGFN estima quanto a empresa pagaria num cenário de execução ao longo de cinco anos e usa isso como base para classificar o contribuinte (categorias A a D) e definir o benefício.

O problema: a CAPAG é calculada **automaticamente** pelo sistema, a partir de dados que nem sempre refletem a real situação financeira da empresa. Um cálculo automático que superestima a capacidade de pagamento resulta em desconto menor — ou nenhum.

A **revisão da CAPAG** é o ponto técnico que muda tudo. É possível contestar a classificação automática, apresentando justificativa fundamentada com a metodologia e os números corretos. Foi exatamente isso que reduziu a dívida da indústria de papel: *""De R$ 600 milhões de capacidade de pagamento, conseguimos revisar para R$ 50.""* Não foi a dívida que mudou — foi a leitura da capacidade de pagar, recalculada e defendida com fundamento.

## Quando a transação faz sentido (e quando não)

A honestidade aqui separa o trabalho sério da promessa vazia. A transação **não** serve para todo mundo:

- **Faz sentido** quando a dívida é relevante e a capacidade de pagamento real é baixa — empresa com passivo grande, balanço apertado, dificuldade de honrar o débito integral. Aí o potencial de desconto é alto e justifica o trabalho técnico de revisão da CAPAG.
- **Não faz sentido** quando a empresa tem lucratividade alta e capacidade de pagamento robusta. Nesse caso, o sistema vai apontar capacidade de pagar, o desconto será pequeno, e insistir na transação é gastar energia para pouco resultado.

O diretor da indústria foi direto sobre isso: empresas com lucratividade muito alta têm potencial de redução baixo; é nos casos de dívida relevante e capacidade real comprometida que a revisão paga. Diagnóstico antes de adesão — sempre.

## Um detalhe que vale ouro: prejuízo fiscal e quem assina

Dois pontos técnicos que aparecem nas operações grandes:

1. **Uso de prejuízo fiscal.** Empresas com prejuízo fiscal acumulado podem, em modalidades específicas de transação, usar esse prejuízo para abater parte do débito — um ativo que estava ""parado"" no balanço vira instrumento de quitação.

2. **Quem bate na porta importa.** A transação de grande volume é técnica e relacional. Como resumiu o diretor: *""Se você pegar a Portaria 6.757, vai ver quem assinou — o procurador-geral. Faz diferença bater na porta da Fazenda com quem conhece o terreno.""* A construção da revisão de CAPAG, a escolha da modalidade e a interlocução com a PGFN exigem especialização real — não é preencher formulário no portal Regularize.

## A camada da Reforma Tributária

A Reforma muda os tributos do consumo (PIS, COFINS, ICMS, ISS → CBS e IBS), mas **não** extingue as dívidas já inscritas em Dívida Ativa da União. Passivos de IRPJ, CSLL, contribuições e tributos antigos continuam existindo e continuam negociáveis pela transação.

Há, porém, um efeito indireto: a transição da Reforma vai gerar reorganização de operações, encerramento de incentivos e ajustes que podem **criar novos passivos** para empresas mal preparadas. Regularizar o passado via transação, enquanto se estrutura o futuro sob as novas regras, é parte de um mesmo movimento de organização tributária — não dois assuntos separados.

## Tabela-resumo

| Item | Como funciona |
|---|---|
| Base legal | Art. 171 CTN, Lei 13.988/2020, Portaria PGFN 6.757/2022 |
| O que reduz | Juros, multas e encargos (até 100% dessas rubricas, com limite sobre o total) |
| Fator decisivo | CAPAG — capacidade de pagamento |
| Princípio | Menor capacidade demonstrada = maior desconto |
| Alavanca técnica | Revisão da CAPAG (contestar o cálculo automático) |
| Recurso adicional | Uso de prejuízo fiscal em modalidades específicas |
| Quando vale | Dívida relevante + capacidade real baixa |
| Quando não vale | Lucratividade e capacidade de pagamento altas |

## O ponto

A maioria das empresas com dívida federal grande acha que só resta pagar ou quebrar. Existe um caminho no meio, na lei desde 1966 e finalmente operável: negociar com base na real capacidade de pagar. O número que assusta na inscrição não é o número final — o final depende de uma CAPAG bem calculada e bem defendida. R$ 600 milhões viraram R$ 50 milhões não porque a dívida diminuiu, mas porque alguém recalculou, com fundamento, quanto a empresa realmente podia pagar. A diferença entre os dois números é o trabalho técnico no meio.

**Sobre a Hedge Tax.** Somos uma consultoria tributária boutique com sede em Vila Velha (ES), reconhecida como uma das principais referências em estratégia e organização tributária para empresas de médio e grande porte no Espírito Santo. Nosso time tem passagem por Deloitte, ArcelorMittal e Vale S.A. Fazemos o diagnóstico de viabilidade da transação — analisando se a revisão da CAPAG tem potencial real no seu caso — e articulamos a operação com os especialistas certos para a interlocução com a PGFN. Se a sua empresa carrega passivo inscrito em Dívida Ativa da União, fale com a gente antes de aderir a qualquer edital: **hedgeconsultoria.com**.

Fale comigo diretamente pelo WhatsApp nesse link:
https://api.whatsapp.com/send/?phone=5527999614664

Igor Izoton
CEO, Hedge Tax
+55 27 99961-4664
igor@hedgeconsultoria.com

*Este conteúdo tem caráter informativo e não constitui consultoria tributária individualizada. A viabilidade e o resultado de uma transação dependem da situação financeira, do perfil da dívida e da CAPAG de cada empresa, exigindo análise específica; prazos de adesão variam conforme os editais vigentes da PGFN. As regras e percentuais citados baseiam-se na legislação vigente (art. 171 do CTN, Lei 13.988/2020, Portaria PGFN 6.757/2022 e editais PGDAU) e estão sujeitos a alteração.*
",,03/07/2026,sexta-feira,04:00:00,Baixa,Junior,Finalizado,,
Estruturar perfil do TikTok,Operacional,Suricato,,,03/07/2026,sexta-feira,17:00:00,Baixa,Junior,Finalizado,,
ESTÁTICO 02 (Alerta Documental/Packing List),Estático,Comexblog,"Visual: Arte de impacto estilo cartão vermelho de futebol.
Texto na Arte: Errar a descrição do material no Packing List é pedir para tomar um Cartão Vermelho direto para o laboratório da Alfândega.
Legenda: Colocar ""Plástico"" na Invoice quando o produto é de um ""Polímero de Etileno"" específico é um convite para a Receita reter sua carga para análise técnica. A precisão técnica salva sua margem! 🟥📝
","Colocar ""Plástico"" na Invoice quando o produto é de um ""Polímero de Etileno"" específico é um convite para a Receita reter sua carga para análise técnica. A precisão técnica salva sua margem! 🟥📝",03/07/2026,sexta-feira,,Baixa,Junior,Finalizado,,
CARROSSEL 02: O Mito do Dinheiro Parado,carrossel,LTV,"Slide 1 (Capa): Como importar direto sem quebrar o caixa da sua empresa. (Visual: Uma engrenagem girando moedas e um contêiner).
Slide 2: A maior objeção de quem foge da China: ""Eu não posso ficar com o dinheiro travado 60 dias no mar esperando a mercadoria chegar para só então vender.""
Slide 3: O modelo LTV não pede para você apostar todas as suas fichas em um único embarque.
Slide 4: Nós usamos o LCL Programado (Cargas Compartilhadas Inteligentes). Você traz lotes menores e contínuos de mercadoria dividindo espaço nos nossos contêineres.
Slide 5: O Resultado: Um fluxo híbrido. O produto chega de forma ritmada, o seu caixa respira e a economia na origem paga todo o custo logístico.
Slide 6 (CTA): Fluxo de caixa protegido e margem ampliada. Clique no link e fale com nossos engenheiros de negócio. ⚙️
","Importação não é cassino, é engenharia financeira. Você não precisa imobilizar o faturamento do ano inteiro em um navio. Com a inteligência da Carga Compartilhada LTV, nós fatiamos a sua necessidade em embarques menores e constantes, mantendo a engrenagem do seu caixa girando saudável enquanto a sua margem de lucro explode. 📊",03/07/2026,sexta-feira,,Baixa,Junior,Finalizado,,
roteiro para 4 videos e 5 carrosseis,Roteiro,Mineiro,,,03/07/2026,sexta-feira,18:00:00,Baixa,Viviane,Finalizado,,
5 - Estrutura do Carrossel: Serviço vs. Hospitalidade,carrossel,Full Gaz,"Card 1: O Gancho (Capa)
Visual: Fotografia de altíssima qualidade de uma mesa posta. 
Texto Principal (Tipografia Serifada e Elegante): O garçom entrega o prato.
Texto Secundário (Abaixo, em itálico): A hospitalidade garante o retorno.
Card 2: A Obrigação
Texto: Serviço é técnica. É entregar o pedido na mesa certa, não errar o ponto da carne e recolher os pratos no tempo exato. Serviço não é um diferencial, é a obrigação de qualquer operação.
Card 3: A Arte Intangível
Texto: Hospitalidade transcende o ato de servir, é inteligência emocional. É o acolhimento, a arte de ler a mesa, antecipar uma necessidade antes que o cliente peça e fazer com que ele se sinta a pessoa mais importante daquele salão.
Card 4: A Matemática da Experiência
Texto: Você pode ter a melhor ficha técnica e o chef mais criativo. Mas se a sua equipe de salão não compreende, domina a hospitalidade, você não sustenta um ticket médio alto. O cliente pode vai ao restaurante pela comida, mas deixa de voltar ou recomendar pelo atendimento/acolhimento.
Card 5: CTA (A Conversão)
Texto: A Full Gaz estrutura operações onde a equipe não apenas tira pedidos, mas orquestra experiências inesquecíveis.
Texto Menor (Abaixo): Acesse o link da bio e aplique-se para uma das nossas vagas de consultoria.",,03/07/2026,sexta-feira,18:00:00,Baixa,Viviane,Finalizado,,
subir os videos,Operacional,icecream,,,,sábado,18:00:00,Baixa,Viviane,Finalizado,,
"Mail Marketing: IMPORTAÇÃO (Foco: Benefícios ES)
",Email,HDG,"📝 Resumo: Venda direta do benefício de importar pelo Espírito Santo (redução de ICMS na entrada e saída). Comparativo de custo. 🎯 Melhor Setor (Tag Brevo): Importadoras, Trading Companies, Indústrias que usam insumos importados
Assunto: Importar pelo ES sai até 100% mais barato — você está deixando dinheiro na mesa? ✈️📦
Corpo do E-mail:
Olá, [Nome do Lead],
Você sabia que importar pelo Espírito Santo pode reduzir drasticamente a carga tributária da sua empresa?
Grandes players do mercado já migraram suas operações para o estado. O motivo é matemático: ✅ Isenção ou Diferimento de ICMS na importação; ✅ Tributação mínima na saída (entre 1% e 3%); ✅ Programas como INVEST-ES e Fundap.
O cenário atual: Se você continua importando por outros estados sem incentivo, você está pagando antecipado e competindo com margens menores.
O que a Hedge faz por você: 🔎 Planejamos toda a estrutura fiscal da sua operação no ES; 📝 Cuidamos dos requerimentos e habilitações junto à Sefaz; 📈 Monitoramos sua operação para garantir a manutenção dos benefícios.
Esses incentivos exigem planejamento prévio. Quanto antes você agir, maior o impacto no custo final do seu produto.
👉 [Agende uma conversa com nosso time. A análise é gratuita.]
Quem importa pelo ES, importa com inteligência. Deixe a Hedge mostrar o caminho.
",,06/07/2026,segunda-feira,18:00:00,Baixa,Junior,Finalizado,,
6- As frases que mais escuto dos noivos e formandos 🎤,carrossel,Venturini,"Se você está organizando uma festa, provavelmente já falou pelo menos uma delas... 

Card 2
 Antes da festa:
🎓 ""A galera é tímida, viu?""
💍 ""O pessoal não gosta muito de dançar.""
🎓 ""Vai ser algo mais tranquilo.""
💍 ""Não precisa se preocupar com a pista.""
Rodapé:
 (Até a primeira música começar...)
 
CARD 3
 
 Durante a festa:
🔥 ""Só mais uma música!""
🔥 ""Não deixa acabar agora!""
🔥 ""Toca aquela de novo!""
🔥 ""A gente prometeu ir embora cedo...""
😂 E ninguém vai embora antes das luzes acenderem.
 
CARD 4  
 
 A melhor frase é sempre no final:
 ""Foi a melhor festa da nossa vida!""
Texto:
 É para criar momentos assim que eu subo no palco.
Se você quer uma pista cheia, energia lá em cima e uma festa que fique na memória de todo mundo, vamos conversar.
CTA:
 📲 Chame o @gustavinn e garanta uma experiência inesquecível para seu casamento ou formatura.  
",,06/07/2026,segunda-feira,,Baixa,Viviane,Finalizado,https://docs.google.com/document/d/18Hq3ldIzLtLPSs7jN2N6e45Gh-eyncXxh9l21_U_88E/edit?tab=t.0#heading=h.7x30tw8kh9th,
video 2,Video,Comexblog,"falta o video, colocar algum video que chama atenção ",,06/07/2026,segunda-feira,,Baixa,Junior,Finalizado,,
"Roteiro 3: O Ponto de Virada (A Coragem)",Video,Full Gaz,,,06/07/2026,segunda-feira,18:00:00,alta,Junior,Finalizado,,
A Bomba-relógio da Reforma Tributária,Video,HDG,"[00:00 - 00:08] HOOK (O Gancho)
""Se a sua empresa deixar a Reforma Tributária só na mão do fiscal, vocês podem simplesmente ser impedidos de emitir nota e faturar em janeiro de dois mil e vinte e sete.""

[00:08 - 00:25] O PROBLEMA (A dor do atraso)
""Tem muito empresário esperando 'tudo ficar pronto' para começar a agir. O problema é que o relógio já está correndo. Implementar a Reforma não é só mudar imposto no papel, é um projeto que mexe no coração do seu negócio e exige mudanças urgentes nos seus sistemas e processos.""

[00:25 - 00:45] OS ALERTAS (Onde o caixa sangra)
""Quer um exemplo? O setor de compras. Com a nova regra de crédito, aquele seu fornecedor do Simples Nacional que sempre teve o menor preço pode virar a opção mais cara da mesa, se ele não mudar o regime dele até setembro de dois mil e vinte e seis. O seu time de compras sabe fazer essa conta do imposto líquido hoje? Provavelmente não.""

[00:45 - 00:58] O AGRAVANTE (Precificação)
""E a sua precificação? Nós vamos ter dois sistemas de impostos rodando ao mesmo tempo. Quem errar a formação de preço nessa transição vai operar no prejuízo em escala sem nem perceber.""

[00:58 - 01:15] A SOLUÇÃO / CTA
""O PDF da lei não muda a sua empresa. Quem implementa a Reforma é a sua equipe, com o sistema rodando e a conta feita. Quer organizar a casa com método antes do caos começar? Clica no link da bio. A Hedge Consultoria estrutura as cinco frentes que o seu negócio precisa para continuar competitivo.""","Esperar ""tudo ficar pronto"" para aplicar a Reforma Tributária é o caminho mais rápido para travar sua emissão de notas fiscais. ⏳

A adaptação não é só fiscal: ela exige mexer nos sistemas de TI, treinar o time de compras, reavaliar fornecedores e recalcular toda a sua precificação. E os prazos já estão correndo: decisões críticas, como a opção de fornecedores pelo regime híbrido, precisam ser feitas até setembro de 2026.

Se o seu comercial e o seu setor de compras não sabem calcular o crédito integral, sua empresa vai perder dinheiro.

A Hedge Tax organiza esse caos. Estruturamos a implementação da Reforma na sua empresa de forma prática, garantindo segurança e competitividade.

📲 Clique no link da bio e inicie o projeto de transição do seu negócio.",06/07/2026,segunda-feira,,alta,Junior,Finalizado,,
Carrossel 4 (Pilar 1: Estudo de Caso),carrossel,Renan,"Capa: PRISÃO PREVENTIVA NÃO É ANTECIPAÇÃO DE PENA.
Slide 2: O caso cai na mídia. O tribunal da internet já condena nas primeiras duas horas e exige a prisão imediata do suspeito.
Slide 3: Acontece que o não se julga um caso criminal por like, mas pela lei. A prisão antes do trânsito em julgado é a exceção extrema, não a regra.
Slide 4: Manter alguém preso só pela ""gravidade do crime"" ou para dar ""uma resposta à sociedade"" é um ato ilegal.
Slide 5: Para prender, é preciso risco real: tentativa de fuga comprovada, ameaça a testemunhas ou destruição de provas.
Slide 6: Quando um juiz cede à pressão popular e decreta uma prisão sem base técnica, os Tribunais de Justiça ou Superiores (STF e STJ) podem derrubar a prisão via Habeas Corpus.
Slide 7 (CTA): A justiça não se faz com emoção. Siga o perfil para análises técnicas de verdade.
Conceito Visual: Balança da justiça estilizada, linhas duras, paleta de cinzas fechados.",,06/07/2026,segunda-feira,18:00:00,Baixa,Junior,Finalizado,,
5 - Organico - desorganização interna,Roteiro,HDG,criar um estatico com o roteiro do video,,07/07/2026,terça-feira,18:00:00,Baixa,Junior,Finalizado,,
Criar roteiro carrossel,Roteiro,HDG,,,07/07/2026,terça-feira,,Baixa,Junior,Finalizado,,
Criar video com essa inspiração,Roteiro,HDG,,,07/07/2026,terça-feira,,Baixa,Junior,Finalizado,https://valor.globo.com/legislacao/noticia/2026/06/24/receita-federal-inicia-a-publicao-da-lista-de-devedores-contumazes.ghtml,
Post,carrossel,Hip,,,07/07/2026,terça-feira,18:00:00,Baixa,Viviane,Finalizado,,
